Time,Open,High,Low,Close,Volume
2021-12-25 00:00:00,1.0004,1.0004,1.0003,1.0004,210247.634883
2021-12-25 00:05:00,1.0004,1.0004,1.0003,1.0004,42288.125022
2021-12-25 00:10:00,1.0004,1.0004,1.0003,1.0004,166052.472824
2021-12-25 00:15:00,1.0004,1.0004,1.0003,1.0004,162731.393736
2021-12-25 00:20:00,1.0004,1.0004,1.0003,1.0004,76729.405582
2021-12-25 00:25:00,1.0004,1.0004,1.0003,1.0004,161206.449492
2021-12-25 00:30:00,1.0004,1.0004,1.0003,1.0004,143705.683866
2021-12-25 00:35:00,1.0004,1.0004,1.0003,1.0004,117705.777939
2021-12-25 00:40:00,1.0004,1.0004,1.0003,1.0004,261570.895359
2021-12-25 00:45:00,1.0004,1.0004,1.0003,1.0004,261562.555379
2021-12-25 00:50:00,1.0004,1.0004,1.0003,1.0004,466875.208026
2021-12-25 00:55:00,1.0004,1.0004,1.0003,1.0004,345521.997832
2021-12-25 01:00:00,1.0004,1.0004,1.0003,1.0004,1161821.962253
2021-12-25 01:05:00,1.0004,1.0004,1.0003,1.0004,76460.358189
2021-12-25 01:10:00,1.0004,1.0004,1.0003,1.0004,363507.301689
2021-12-25 01:15:00,1.0004,1.0004,1.0003,1.0004,161815.285842
2021-12-25 01:20:00,1.0004,1.0004,1.0003,1.0004,184491.089666
2021-12-25 01:25:00,1.0004,1.0004,1.0003,1.0004,218180.24836
2021-12-25 01:30:00,1.0004,1.0004,1.0003,1.0004,345991.264307
2021-12-25 01:35:00,1.0004,1.0004,1.0003,1.0004,293764.294964
2021-12-25 01:40:00,1.0004,1.0004,1.0003,1.0004,721345.905688
2021-12-25 01:45:00,1.0004,1.0004,1.0003,1.0004,181490.939762
2021-12-25 01:50:00,1.0004,1.0004,1.0003,1.0004,219654.549303
2021-12-25 01:55:00,1.0004,1.0004,1.0003,1.0004,586099.71443
2021-12-25 02:00:00,1.0004,1.0004,1.0003,1.0004,1501748.667729
2021-12-25 02:05:00,1.0004,1.0004,1.0003,1.0004,1458299.018854
2021-12-25 02:10:00,1.0004,1.0005,1.0003,1.0005,909921.098037
2021-12-25 02:15:00,1.0005,1.0005,1.0004,1.0005,59006.795108
2021-12-25 02:20:00,1.0005,1.0005,1.0004,1.0005,31432.591877
2021-12-25 02:25:00,1.0005,1.0005,1.0004,1.0005,11832.545897
2021-12-25 02:30:00,1.0005,1.0005,1.0004,1.0005,36798.341471
2021-12-25 02:35:00,1.0005,1.0005,1.0004,1.0005,11212.54487
2021-12-25 02:40:00,1.0005,1.0005,1.0004,1.0005,95520.408356
2021-12-25 02:45:00,1.0005,1.0005,1.0004,1.0005,15691.334324
2021-12-25 02:50:00,1.0004,1.0005,1.0004,1.0005,45361.05872
2021-12-25 02:55:00,1.0005,1.0005,1.0004,1.0005,112307.782272
2021-12-25 03:00:00,1.0005,1.0005,1.0004,1.0005,30111.339491
2021-12-25 03:05:00,1.0005,1.0005,1.0004,1.0005,21996.733909
2021-12-25 03:10:00,1.0005,1.0005,1.0004,1.0005,53601.576745
2021-12-25 03:15:00,1.0005,1.0005,1.0004,1.0005,24633.652419
2021-12-25 03:20:00,1.0005,1.0005,1.0004,1.0005,20139.652697
2021-12-25 03:25:00,1.0005,1.0005,1.0004,1.0005,17286.529683
2021-12-25 03:30:00,1.0005,1.0005,1.0004,1.0005,15763.343547
2021-12-25 03:35:00,1.0005,1.0005,1.0004,1.0005,27735.168406
2021-12-25 03:40:00,1.0005,1.0005,1.0004,1.0005,18576.455105
2021-12-25 03:45:00,1.0005,1.0005,1.0004,1.0005,23730.983643
2021-12-25 03:50:00,1.0005,1.0005,1.0004,1.0005,86647.626073
2021-12-25 03:55:00,1.0005,1.0005,1.0004,1.0005,49209.863591
2021-12-25 04:00:00,1.0005,1.0005,1.0004,1.0005,26058.236806
2021-12-25 04:05:00,1.0005,1.0005,1.0004,1.0005,24017.40048
2021-12-25 04:10:00,1.0005,1.0005,1.0004,1.0005,70197.199768
2021-12-25 04:15:00,1.0005,1.0005,1.0004,1.0005,13433.307673
2021-12-25 04:20:00,1.0005,1.0005,1.0004,1.0005,7299.775392
2021-12-25 04:25:00,1.0005,1.0005,1.0004,1.0005,35839.323551
2021-12-25 04:30:00,1.0005,1.0005,1.0004,1.0005,5517093.350097
2021-12-25 04:35:00,1.0005,1.0005,1.0004,1.0004,94258.045702
2021-12-25 04:40:00,1.0005,1.0005,1.0004,1.0004,147275.240406
2021-12-25 04:45:00,1.0005,1.0005,1.0004,1.0005,23798.536712
2021-12-25 04:50:00,1.0005,1.0005,1.0004,1.0005,110194.0206
2021-12-25 04:55:00,1.0005,1.0005,1.0004,1.0005,19568.904035
2021-12-25 05:00:00,1.0005,1.0005,1.0004,1.0005,5839.467344
2021-12-25 05:05:00,1.0005,1.0005,1.0004,1.0005,2926.305024
2021-12-25 05:10:00,1.0005,1.0005,1.0004,1.0005,67236.761393
2021-12-25 05:15:00,1.0005,1.0005,1.0004,1.0005,7258.526332
2021-12-25 05:20:00,1.0005,1.0005,1.0004,1.0005,80523.051667
2021-12-25 05:25:00,1.0005,1.0005,1.0004,1.0005,108369.084762
2021-12-25 05:30:00,1.0005,1.0005,1.0004,1.0005,108624.262182
2021-12-25 05:35:00,1.0005,1.0005,1.0004,1.0005,34507.217284
2021-12-25 05:40:00,1.0005,1.0005,1.0004,1.0005,130103.786963
2021-12-25 05:45:00,1.0005,1.0005,1.0004,1.0004,13277.519581
2021-12-25 05:50:00,1.0004,1.0005,1.0004,1.0005,10533.448369
2021-12-25 05:55:00,1.0005,1.0005,1.0004,1.0005,63143.749952
2021-12-25 06:00:00,1.0005,1.0005,1.0004,1.0005,121113.045452
2021-12-25 06:05:00,1.0005,1.0005,1.0004,1.0005,60326.001185
2021-12-25 06:10:00,1.0005,1.0005,1.0004,1.0005,632974.16821
2021-12-25 06:15:00,1.0005,1.0005,1.0004,1.0005,111944.848476
2021-12-25 06:20:00,1.0005,1.0005,1.0004,1.0005,175965.695558
2021-12-25 06:25:00,1.0005,1.0005,1.0004,1.0005,30064.76166
2021-12-25 06:30:00,1.0005,1.0005,1.0004,1.0005,24588.430411
2021-12-25 06:35:00,1.0005,1.0005,1.0004,1.0005,13904.656162
2021-12-25 06:40:00,1.0005,1.0005,1.0004,1.0005,22516.3668
2021-12-25 06:45:00,1.0005,1.0005,1.0004,1.0005,3972.134494
2021-12-25 06:50:00,1.0005,1.0005,1.0004,1.0005,29823.649069
2021-12-25 06:55:00,1.0005,1.0005,1.0004,1.0005,17032.736941
2021-12-25 07:00:00,1.0005,1.0005,1.0004,1.0004,62159.362145
2021-12-25 07:05:00,1.0004,1.0005,1.0004,1.0005,172980.783367
2021-12-25 07:10:00,1.0005,1.0005,1.0004,1.0005,13865.737885
2021-12-25 07:15:00,1.0005,1.0005,1.0004,1.0005,8746.220361
2021-12-25 07:20:00,1.0005,1.0005,1.0004,1.0005,19739.894484
2021-12-25 07:25:00,1.0005,1.0005,1.0004,1.0005,23069.08999
2021-12-25 07:30:00,1.0005,1.0005,1.0004,1.0005,2402.028849
2021-12-25 07:35:00,1.0005,1.0005,1.0004,1.0005,82584.873189
2021-12-25 07:40:00,1.0005,1.0005,1.0004,1.0005,63442.47501
2021-12-25 07:45:00,1.0005,1.0005,1.0004,1.0005,326268.426023
2021-12-25 07:50:00,1.0005,1.0005,1.0004,1.0005,22199.418063
2021-12-25 07:55:00,1.0005,1.0005,1.0004,1.0005,3060.969434
2021-12-25 08:00:00,1.0005,1.0005,1.0004,1.0005,4911.116553
2021-12-25 08:05:00,1.0005,1.0005,1.0004,1.0005,5532.238536
2021-12-25 08:10:00,1.0005,1.0005,1.0004,1.0005,3373.323395
2021-12-25 08:15:00,1.0005,1.0005,1.0004,1.0005,34936.934708
2021-12-25 08:20:00,1.0005,1.0005,1.0004,1.0005,84397.309049
2021-12-25 08:25:00,1.0005,1.0005,1.0004,1.0004,20371.233483
2021-12-25 08:30:00,1.0004,1.0005,1.0004,1.0004,32282.241593
2021-12-25 08:35:00,1.0005,1.0005,1.0004,1.0005,26726.024912
2021-12-25 08:40:00,1.0005,1.0005,1.0004,1.0005,367980.850013
2021-12-25 08:45:00,1.0005,1.0005,1.0004,1.0004,113385.360303
2021-12-25 08:50:00,1.0004,1.0005,1.0004,1.0005,10052.635085
2021-12-25 08:55:00,1.0005,1.0005,1.0004,1.0005,131889.201393
2021-12-25 09:00:00,1.0005,1.0005,1.0004,1.0005,504501.34707
2021-12-25 09:05:00,1.0005,1.0005,1.0004,1.0005,19911.817241
2021-12-25 09:10:00,1.0005,1.0005,1.0004,1.0005,19076.591606
2021-12-25 09:15:00,1.0005,1.0005,1.0004,1.0005,47693.364279
2021-12-25 09:20:00,1.0005,1.0005,1.0004,1.0005,30493.533279
2021-12-25 09:25:00,1.0005,1.0005,1.0004,1.0005,104332.835912
2021-12-25 09:30:00,1.0005,1.0005,1.0004,1.0005,24118.262115
2021-12-25 09:35:00,1.0005,1.0005,1.0004,1.0005,79785.174015
2021-12-25 09:40:00,1.0005,1.0005,1.0004,1.0004,31802.067304
2021-12-25 09:45:00,1.0004,1.0005,1.0004,1.0005,4601.255984
2021-12-25 09:50:00,1.0005,1.0005,1.0004,1.0005,132951.53421
2021-12-25 09:55:00,1.0005,1.0005,1.0004,1.0005,100352.437585
2021-12-25 10:00:00,1.0005,1.0005,1.0004,1.0005,50766.168281
2021-12-25 10:05:00,1.0005,1.0005,1.0004,1.0004,1423495.099002
2021-12-25 10:10:00,1.0005,1.0005,1.0004,1.0005,35482.652738
